# МАЛАЯ БАЗА КОРПУСА — постоянный набор для частых прогонов.
# Заведена 04.09.2026 по решению Amber: полный корпус гонять
# только когда список задач устаканится и матрицы перестанут
# переделываться.
#
# Отбор идёт ПО СЦЕНАМ, а не по спектрам: прогон FSA — секунды,
# часы съедает пересчёт матриц, и матрица считается НА СЦЕНУ.
# Здесь 59 спектров (понятных 45, непонятных 14) на 8 сценах
# против 136 спектров на 49 сценах у полного корпуса (с 18.09.2026,
# П99/`B30`: `ASN16_Cs137` и `ASN16_Cs137_10cm` понятные на сценах в домике —
# решение Amber 14.09.2026 «Да, в понятную часть и в малую базу»; с 12.09.2026:
# диск `AS80_Th232Medal` стал понятным, П22/П24 — 42/17 на 5 сценах до того).
#
# Непонятная часть матриц НЕ ТРЕБУЕТ ВООБЩЕ — у её спектров нет
# геометрии по построению, и это их свойство, а не недоделка.
#
# ⛔ Числа частей НЕ СКЛАДЫВАТЬ, и всякое число обязано называть
#    свою часть — правило корпуса действует и здесь.
# ⛔ Числа малой базы НЕЛЬЗЯ сравнивать с числами ПОЛНОГО корпуса:
#    это другая выборка, у неё своя база (см. README корпуса).
#
# Сцены: AS80_lu_front, AS80_point0, AS80_th_disk, ASN16_lu_side, ASN16_point0_house, ASN16_point10_house, G1S_point25, G1S_point5
spectrum,det,part,geometry,why
AS80_Cs137_0cm,AS80x80,known,AS80_point0,приоритет Amber: группа названа прямо
ASN16_Lu176,ASN16,known,ASN16_lu_side,приоритет Amber: группа названа прямо
ASN16_Lu176_P0,ASN16,known,ASN16_lu_side,приоритет Amber: группа названа прямо
AS80_Lu176,AS80x80,known,AS80_lu_front,приоритет Amber: группа названа прямо
G1S16_Am241_P25,G1S16,known,G1S_point25,понятная часть даром: 38 спектров на ДВУХ сценах
G1S16_Ba133_P25,G1S16,known,G1S_point25,понятная часть даром: 38 спектров на ДВУХ сценах
G1S16_Cd109_P25,G1S16,known,G1S_point25,понятная часть даром: 38 спектров на ДВУХ сценах
G1S16_Ce139_P25,G1S16,known,G1S_point25,понятная часть даром: 38 спектров на ДВУХ сценах
G1S16_Co60_P25,G1S16,known,G1S_point25,понятная часть даром: 38 спектров на ДВУХ сценах
G1S16_Cs137_P25,G1S16,known,G1S_point25,понятная часть даром: 38 спектров на ДВУХ сценах
G1S16_Eu152_P25,G1S16,known,G1S_point25,понятная часть даром: 38 спектров на ДВУХ сценах
G1S16_Mn54_P25,G1S16,known,G1S_point25,понятная часть даром: 38 спектров на ДВУХ сценах
G1S16_Na22_P25,G1S16,known,G1S_point25,понятная часть даром: 38 спектров на ДВУХ сценах
G1S16_Th228_P25,G1S16,known,G1S_point25,понятная часть даром: 38 спектров на ДВУХ сценах
G1S16_Y88_P25,G1S16,known,G1S_point25,понятная часть даром: 38 спектров на ДВУХ сценах
G1S16_Am241_P5,G1S16,known,G1S_point5,понятная часть даром: 38 спектров на ДВУХ сценах
G1S16_Ba133_P5,G1S16,known,G1S_point5,понятная часть даром: 38 спектров на ДВУХ сценах
G1S16_Cd109_P5,G1S16,known,G1S_point5,понятная часть даром: 38 спектров на ДВУХ сценах
G1S16_Ce139_P5,G1S16,known,G1S_point5,понятная часть даром: 38 спектров на ДВУХ сценах
G1S16_Co57_P5,G1S16,known,G1S_point5,понятная часть даром: 38 спектров на ДВУХ сценах
G1S16_Co60_P5,G1S16,known,G1S_point5,понятная часть даром: 38 спектров на ДВУХ сценах
G1S16_Cs137_P5,G1S16,known,G1S_point5,понятная часть даром: 38 спектров на ДВУХ сценах
G1S16_Eu152_P5,G1S16,known,G1S_point5,понятная часть даром: 38 спектров на ДВУХ сценах
G1S16_Mn54_P5,G1S16,known,G1S_point5,понятная часть даром: 38 спектров на ДВУХ сценах
G1S16_Na22_P5,G1S16,known,G1S_point5,понятная часть даром: 38 спектров на ДВУХ сценах
G1S16_Th228_P5,G1S16,known,G1S_point5,понятная часть даром: 38 спектров на ДВУХ сценах
G1S16_Y88_P5,G1S16,known,G1S_point5,понятная часть даром: 38 спектров на ДВУХ сценах
G1S24_Cs137_P25,G1S24,known,G1S_point25,понятная часть даром: 38 спектров на ДВУХ сценах
G1S24_Na22_P25,G1S24,known,G1S_point25,понятная часть даром: 38 спектров на ДВУХ сценах
G1S24_Th228_P25,G1S24,known,G1S_point25,понятная часть даром: 38 спектров на ДВУХ сценах
G1S24_Y88_P25,G1S24,known,G1S_point25,понятная часть даром: 38 спектров на ДВУХ сценах
G1S24_Am241_P5,G1S24,known,G1S_point5,понятная часть даром: 38 спектров на ДВУХ сценах
G1S24_Ba133_P5,G1S24,known,G1S_point5,понятная часть даром: 38 спектров на ДВУХ сценах
G1S24_Bi207_P5,G1S24,known,G1S_point5,понятная часть даром: 38 спектров на ДВУХ сценах
G1S24_Cd109_P5,G1S24,known,G1S_point5,понятная часть даром: 38 спектров на ДВУХ сценах
G1S24_Co60_P5,G1S24,known,G1S_point5,понятная часть даром: 38 спектров на ДВУХ сценах
G1S24_Cs137_P5,G1S24,known,G1S_point5,понятная часть даром: 38 спектров на ДВУХ сценах
G1S24_Eu152_P5,G1S24,known,G1S_point5,понятная часть даром: 38 спектров на ДВУХ сценах
G1S24_Na22_P5,G1S24,known,G1S_point5,понятная часть даром: 38 спектров на ДВУХ сценах
G1S24_Th228_P5,G1S24,known,G1S_point5,понятная часть даром: 38 спектров на ДВУХ сценах
G1S24_Y88_P5,G1S24,known,G1S_point5,понятная часть даром: 38 спектров на ДВУХ сценах
G1S24_Zn65_P5,G1S24,known,G1S_point5,понятная часть даром: 38 спектров на ДВУХ сценах
